Sample_Identifier,Parent Sample ID,IGSN-ParentSample,ITS_SPID,GOLD_Study_ID,GOLD_Biosample_ID,GOLD_SEQUENCING_PROJECT_ID,EMSL DMS sample number,EMSL data type,SAMPLE_COLLECTION_SITE,ECOSYSTEM,ECOSYSTEM_CATEGORY,ECOSYSTEM_TYPE,ECOSYSTEM_SUBTYPE,SPECIFIC_ECOSYSTEM,HABITAT,GEOGRAPHIC_LOCATION,LATITUDE,LONGITUDE,DEPTH,SAMPLE_COLLECTION_DATE,ELEVATION,PROJECT_NAME,SEQUENCING_STRATEGY_FULL,PH,SALINITY_CONCENTRATION,SAMPLE_VOLUME,SOIL_CURR_LAND_USE,SOIL_CURR_VEGETATION,SOIL_CURR_VEGETATION_METHOD,SOIL_PREV_LAND_USE,SOIL_PREV_LAND_USE_METH,SOIL_CROP_ROTATION,SOIL_AGROCHEM_ADDITION,SOIL_TILLAGE,SOIL_FIRE,SOIL_FLOODING,SOIL_EXTREME_EVENT,SOIL_HORIZON,SOIL_HORIZON_METHOD,SOIL_SIEVING,SOIL_WATER_CONTENT,SOIL_WATER_CONTENT_SOIL_METH,SAMPLE_WEIGHT_DNA_EXT,SOIL_POOL_DNA_EXTRACTS,SOIL_STORAGE_CONDITION,SOIL_LINK_CLIMATE_INFO,SOIL_MEAN_ANNUAL_TEMP,SOIL_MEAN_SEASONAL_TEMP,SOIL_MEAN_ANNUAL_PRECPT,SOIL_MEAN_SEASONAL_PRECPT,SOIL_LINK_CLASS_INFO,SOIL_FAO_CLASS,SOIL_LOCAL_CLASS,SOIL_LOCAL_CLASS_METHOD,SOIL_TYPE,SOIL_TYPE_METHOD,SOIL_SLOPE_GRADIENT,SOIL_SLOPE_ASPECT,SOIL_PROFILE_POSITION,SOIL_DRAINAGE_CLASS,SOIL_TEXTURE,SOIL_TEXTURE_METHOD,SOIL_PH_METHOD,TOT_ORG_CARBON,SOIL_TOT_ORG_C_METHOD,TOT_NITROGEN,SOIL_TOT_N_METHOD,SOIL_MICROBIAL_BIOMASS,SOIL_MICROBIAL_BIOMASS_METHOD,SOIL_LINK_ADDIT_ANALYS,SOIL_SALINITY_METHOD,SOIL_HEAVY_METALS,SOIL_HEAVY_METALS_METHOD,SOIL_ALUMINIUM_SAT,SOIL_ALUMINIUM_SAT_METHOD,ISOLATION_PUBLICATION_ID,SOIL_MISC_PARAM,NCBI_BIOPROJECT_ACCESSION,NCBI_BIOSAMPLE_ACCESSION,ITS_PROPOSAL_ID,ITS_PROJECT_NAME,ITS_SAMPLE_ID,ENV_PACKAGE,STUDY_NAME,STUDY_PI,STUDY_PI_EMAIL,SAMPLE_ISOLATION_COMMENTS,LAT_LONG_INFERRED,PRESSURE,NITRATE_CONCENTRATION,ITS_GROWTH_CONDITIONS,ELEVATION2,DEPTH2,BIOSAMPLE_NAME,ADD_DATE,MOD_DATE,DESCRIPTION,SAMPLING_STRATEGY,SAMPLE_BIOMASS,SAMPLE_CONTACT_NAME,SAMPLE_CONTACT_EMAIL,IS_PUBLIC,NCBI_TAXONOMY_ID,COMMUNITY,LOCATION,GROWTH_CONDITIONS,CHLOROPHYLL_CONCENTRATION,OXYGEN_CONCENTRATION,ECOSYSTEM_PATH_ID,NCBI_TAXONOMY_NAME,TEMPERATURE_RANGE,SUBSURFACE_DEPTH,SUBSURFACE_DEPTH2,SOLUBLE_IRON_MICROMOL,H2S_MILLIMOL,H2S_PRESENT,OXYGEN_PRESENCE,METHANE_CONC_MILLIMOL,ISOLATION_PUBLICATION_ID,BICARBONATE_MILLIMOL,PROPORT_WOA_SILICATE,PROPORT_WOA_PHOSPHATE,Soil_SIZE_FRAC_LOW,Soil_SIZE_FRAC_UP,samp_mat_process,samp_size
ER_DNA_117,117,IEWFS0003,1196576,Gs0135149,Gb0191645,Gp0321265,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,> 15,3-7-2017,2780,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_117",Metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA518553,SAMN10863952,503568,ER_DNA_117,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_117",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_RNA_117,117,IEWFS0003,1238165,Gs0135149,Gb0205603,Gp0396395,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,> 15,3-7-2017,2780,"Metatranscriptome of soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_117",Metatranscriptome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),503568,ER_RNA_117,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_117",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"the East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
117,117,IEWFS0003,,,,,747947; 749039; 749026; 743558; 723574; 723575; 724055; 769694; 769650; 738625; 738626; 738627; 738622; 738623; 738624,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Lipidomics; Lipidomics; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,> 15,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_DNA_118,118,IEWFS0004,1196577,Gs0135149,Gb0191646,Gp0321266,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,0-5,3-7-2017,2780,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_118",Metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA518554,SAMN10864376,503568,ER_DNA_118,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_118",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_RNA_118,118,IEWFS0004,1238166,Gs0135149,Gb0205604,Gp0396396,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,0-5,3-7-2017,2780,"Metatranscriptome of soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_118",Metatranscriptome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA566923,SAMN12794405,503568,ER_RNA_118,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_118",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"the East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
118,118,IEWFS0004,,,,,747976; 749044; 749031; 743559; 724056; 724407; 769695; 769672; 738632; 738633; 739459; 738628; 738630; 738631,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Lipidomics; Lipidomics; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,0-5,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_DNA_119,119,IEWFS0005,1196578,Gs0135149,Gb0191647,Gp0321267,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,5-15,3-7-2017,2780,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_119",Metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA518555,SAMN10864377,503568,ER_DNA_119,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_119",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_RNA_119,119,IEWFS0005,1238167,Gs0135149,Gb0205605,Gp0396397,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,5-15,3-7-2017,2780,"Metatranscriptome of soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_119",Metatranscriptome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA621679,SAMN14515065,503568,ER_RNA_119,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_119",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"the East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
119,119,IEWFS0005,,,,,747977; 749045; 749032; 743560; 723577; 723578; 724057; 771489; 769637; 738640; 739460; 738636; 738637; 738638,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Lipidomics; Lipidomics; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,5-15,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_DNA_120,120,IEWFS0006,1196579,Gs0135149,Gb0191648,Gp0321268,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,> 15,3-7-2017,2780,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_120",Bacteria_Archaea,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA518556,SAMN10863951,503568,ER_DNA_120,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_120",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_RNA_120,120,IEWFS0006,1238168,Gs0135149,Gb0205606,Gp0396398,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,> 15,3-7-2017,2780,"Metatranscriptome of soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_120",Metatranscriptome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA621680,SAMN14514843,503568,ER_RNA_120,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_120",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"the East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
120,120,IEWFS0006,,,,,747960; 749041; 749028; 743561; 723579; 724058; 724408; 769685; 769638; 738644; 738645; 738646; 738641; 738642; 738643,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Lipidomics; Lipidomics; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,> 15,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_DNA_121,121,IEWFS0007,1196580,Gs0135149,Gb0191649,Gp0321269,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,0-5,3-7-2017,2780,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_121",Metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA518557,SAMN10864150,503568,ER_DNA_121,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_DNA_121",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"The East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
ER_RNA_121,121,IEWFS0007,1238169,Gs0135149,Gb0205607,Gp0396399,,,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,0-5,3-7-2017,2780,"Metatranscriptome of soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_121",Metatranscriptome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),PRJNA621681,SAMN14515556,503568,ER_RNA_121,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States - ER_RNA_121",6/22/18 16:28,9/6/19 9:08,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",(null),(null),(null),(null),Yes,410658,microbial communities,"the East River watershed near Crested Butte, Colorado, USA",(null),(null),(null),4212,soil metagenome,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
121,121,IEWFS0007,,,,,747940; 747988; 748036; 731077; 731078; 743562; 723580; 723581; 724059; 730160; 730161; 730162; 730163; 730164; 730165; 769667; 769653; 738650; 738651; 739461; 738647; 738648; 738649,Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Lipidomics; Lipidomics; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization; Organic Matter Characterization,soil,Environmental,Terrestrial,Soil,Bulk soil,Meadow,soil,USA: Colorado,38.9206,-106.9489,0-5,,2780,,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,,,,(null),Soil,"Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States",Eoin Brodie,elbrodie@lbl.gov,(null),(null),(null),(null),(null),(null),(null),,,,,(null),(null),,,,,,,,(null),(null),,,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
